mouse,human
Kcnj3,KCNJ3
Tshz3,TSHZ3
Caps2,CAPS2
Bltp3a,BLTP3A
Drc5,DRC5
Gucy2g,GUCY2GP
Gab3,GAB3
Ubxn2a,UBXN2A
Atad2b,ATAD2B
Hace1,HACE1
Sdsl,SDSL
Sds,SDS
Lysmd4,LYSMD4
Znrf3,ZNRF3
Rhoj,RHOJ
Xkr6,XKR6
Osbpl11,OSBPL11
Trim25,TRIM25
Bloc1s1,BLOC1S1
Tbc1d20,TBC1D20
B3gnt9,B3GNT9
Polr3b,POLR3B
Casd1,CASD1
Chst2,CHST2
Shank1,SHANK1
Ppfibp2,PPFIBP2
S100a11,S100A11
Sema3c,SEMA3C
Zfta,ZFTA
Depdc5,DEPDC5
Rnf208,RNF208
Trpc7,TRPC7
Rspo4,RSPO4
Ccdc102a,CCDC102A
Map3k15,MAP3K15
Trpc4,TRPC4
Klhdc8b,KLHDC8B
Zfp865,ZNF865
Tmem196,TMEM196
Nfx1,NFX1
Rhbdl3,RHBDL3
Unc13a,UNC13A
S100b,S100B
Tmem72,TMEM72
Gpr142,GPR142
Oxld1,OXLD1
Uprt,UPRT
Crb1,CRB1
Fbxo46,FBXO46
Dock6,DOCK6
Angptl8,ANGPTL8
Slitrk3,SLITRK3
Gng14,GNG14
Tox3,TOX3
Mlec,MLEC
Cacng8,CACNG8
Cacng7,CACNG7
Ucn3,UCN3
Ucn2,UCN2
Timm21,TIMM21
Thsd7b,THSD7B
Arl14,ARL14
Umad1,UMAD1
Ccn6,CCN6
Dhx36,DHX36
Ajap1,AJAP1
Thbs1,THBS1
Gpr176,GPR176
Acot2,ACOT2
Acot6,ACOT6
Acot4,ACOT4
Slc10a1,SLC10A1
Poln,POLN
Tssk6,TSSK6
Ulk1,ULK1
Zdhhc20,ZDHHC20
Plcxd2,PLCXD2
Atp2c1,ATP2C1
Epn3,EPN3
Lifr,LIFR
Tmem63c,TMEM63C
Lama3,LAMA3
Plekhb2,PLEKHB2
Ankrd29,ANKRD29
Osbpl1a,OSBPL1A
Lhx9,LHX9
Best2,BEST2
Dse,DSE
Tpcn1,TPCN1
Nemp1,NEMP1
Zbtb44,ZBTB44
Snx19,SNX19
Thsd7a,THSD7A
Gtf2h5,GTF2H5
Nrbp1,NRBP1
Slc4a11,SLC4A11
Rasgrp4,RASGRP4
Comt,COMT
Adora2b,ADORA2B
Specc1,SPECC1
Amot,AMOT
Gpr25,GPR25
Spx,SPX
Stmp1,STMP1
Il12rb1,IL12RB1
Arhgap25,ARHGAP25
Heatr4,HEATR4
Ap5s1,AP5S1
Polr3g,POLR3G
Mblac2,MBLAC2
Smarca1,SMARCA1
Itgb3bp,ITGB3BP
H6pd,H6PD
Tmem54,TMEM54
Rbm27,RBM27
Pex5l,PEX5L
Sipa1l3,SIPA1L3
Pxdc1,PXDC1
Unc93a2,UNC93A
Asphd1,ASPHD1
Styk1,STYK1
Irak3,IRAK3
Lgals4,LGALS4
P2ry1,P2RY1
Rundc1,RUNDC1
Mc4r,MC4R
Lrrc75a,LRRC75A
Ms4a10,MS4A10
Tmem176a,TMEM176A
Ms4a13,MS4A13
Ms4a7,MS4A7
Shank3,SHANK3
Meig1,MEIG1
Rbm43,RBM43
Mtmr9,MTMR9
Gabrg1,GABRG1
Plekhm3,PLEKHM3
Zmat4,ZMAT4
Mettl18,METTL18
Tdrd9,TDRD9
Map3k20,MAP3K20
Katna1,KATNA1
Plcl1,PLCL1
Dnah3,DNAH3
Trdc,TRDC
Scfd2,SCFD2
Abcb10,ABCB10
Sorbs3,SORBS3
Foxb2,FOXB2
Rfk,RFK
Adcy1,ADCY1
Fhad1,FHAD1
Itpr3,ITPR3
Scmh1,SCMH1
Scml2,SCML2
Capn5,CAPN5
Plxna2,PLXNA2
Alg12,ALG12
Zbed4,ZBED4
Zfp526,ZNF526
Atxn2,ATXN2
Epg5,EPG5
Dnajb5,DNAJB5
Cyth4,CYTH4
Itprid2,ITPRID2
Tstd3,TSTD3P
Cdk18,CDK18
Dnajc22,DNAJC22
Ikzf4,IKZF4
Ccdc134,CCDC134
Enox1,ENOX1
Rab9b,RAB9B
Cetn2,CETN2
Smg6,SMG6
Rsl1d1,RSL1D1
Rfc1,RFC1
Cep70,CEP70
Coq4,COQ4
Bspry,BSPRY
Rab3b,RAB3B
Axdnd1,AXDND1
Tdrd5,TDRD5
Fam163a,FAM163A
Camk1,CAMK1
Lingo3,LINGO3
Sertad4,SERTAD4
Parp4,PARP4
Vtcn1,VTCN1
Trim45,TRIM45
Crip2,CRIP2
Wwc1,WWC1
Ltn1,LTN1
Rnft2,RNFT2
D430041D05Rik,KIAA1549L
Rwdd2b,RWDD2B
Mrnip,MRNIP
Frs3,FRS3
Cenpk,CENPK
Mrps12,MRPS12
Nrg3,NRG3
Mapk8ip2,MAPK8IP2
Pear1,PEAR1
Gabrr2,GABRR2
Lats1,LATS1
Lrp11,LRP11
Oxgr1,OXGR1
Tmem59,TMEM59
Slc6a2,SLC6A2
Fgd6,FGD6
Nr2c1,NR2C1
Ndufa12,NDUFA12
Tmcc3,TMCC3
Abcc9,ABCC9
Sycn,SYCN
Hook1,HOOK1
Hivep1,HIVEP1
Tmem170b,TMEM170B
Gnpda2,GNPDA2
Cenpu,CENPU
Ust,UST
Cfap57,CFAP57
Cenph,CENPH
Slc24a3,SLC24A3
Phf3,PHF3
Syt16,SYT16
Mrm1,MRM1
Mis18a,MIS18A
Ugt8a,UGT8
Slc44a5,SLC44A5
Myo1h,MYO1H
Ube3b,UBE3B
Mmab,MMAB
Ppp2r5a,PPP2R5A
Prkg2,PRKG2
Ntrk3,NTRK3
Uvssa,UVSSA
Cimip5,CIMIP5
Vwa8,VWA8
Ccny,CCNY
Cisd1,CISD1
Sv2c,SV2C
Fer,FER
Pde4d,PDE4D
Elp2,ELP2
Gabbr2,GABBR2
Pgap1,PGAP1
R3hcc1,R3HCC1
Arfgef2,ARFGEF2
Pard6b,PARD6B
Tmem168,TMEM168
Zbtb37,ZBTB37
Sh3tc2,SH3TC2
Hspb3,HSPB3
Snx18,SNX18
Tex30,TEX30
Sh3bgrl3,SH3BGRL3
Gadd45gip1,GADD45GIP1
Cltrn,CLTRN
B4galnt1,B4GALNT1
Itpr2,ITPR2
Tnfaip2,TNFAIP2
Clstn3,CLSTN3
Ptprh,PTPRH
Efcab12,EFCAB12
Zfp541,ZNF541
Zc3h14,ZC3H14
Foxf1,FOXF1
Mettl13,METTL13
Hapln4,HAPLN4
Tm6sf1,TM6SF1
Tm6sf2,TM6SF2
Otc,OTC
Sytl5,SYTL5
Zfp872,ZNF709
Rpl38,RPL38
Isca2,ISCA2
Spp2,SPP2
Terb2,TERB2
Zbtb25,ZBTB25
Zbtb1,ZBTB1
Card9,CARD9
Vps45,VPS45
Lrrc61,LRRC61
Pigo,PIGO
Trpm3,TRPM3
Kcnv1,KCNV1
Scap,SCAP
Fbxo48,FBXO48
Socs2,SOCS2
Ncaph2,NCAPH2
Sco2,SCO2
Rint1,RINT1
Svop,SVOP
Ung,UNG
Urgcp,URGCP
Asxl1,ASXL1
Xkr7,XKR7
Cables2,CABLES2
Prepl,PREPL
Slc3a1,SLC3A1
Add2,ADD2
Neurl1b,NEURL1B
Spink2,SPINK2
Tuft1,TUFT1
Ugt2a2,UGT2A2
Ugt2a1,UGT2A1
Ugt2b34,UGT2B4
Ugt2a3,UGT2A3
Timm29,TIMM29
Yipf2,YIPF2
Zdhhc22,ZDHHC22
Jmjd1c,JMJD1C
Tmem269,TMEM269
Celf6,CELF6
Spata1,SPATA1
Atp2a3,ATP2A3
Pip5kl1,PIP5KL1
Zc3h12a,ZC3H12A
Parp1,PARP1
Lin9,LIN9
Fam120c,FAM120C
Spag17,SPAG17
Ocel1,OCEL1
AU022252,C1orf50
Plxnb3,PLXNB3
Camsap3,CAMSAP3
Prkcg,PRKCG
Hyal3,HYAL3
Wdr6,WDR6
Trpc6,TRPC6
Gabrb1,GABRB1
Atp10d,ATP10D
Zfp442,ZNF611
Gm14399,ZNF880
Gm15446,ZNF136
Gm3604,ZNF28
Zfp189,ZNF189
Zfp775,ZNF775
Kif16b,KIF16B
Fam117b,FAM117B
Dot1l,DOT1L
Cog5,COG5
Bcap29,BCAP29
Slc16a5,SLC16A5
Reps1,REPS1
Scara3,SCARA3
Sgip1,SGIP1
Epb41l4b,EPB41L4B
Acot13,ACOT13
Clasp1,CLASP1
Reep1,REEP1
Polrmt,POLRMT
Fgf22,FGF22
Mettl25,METTL25
Ccdc59,CCDC59
Tspan11,TSPAN11
Iqce,IQCE
Ccdc73,CCDC73
Ogfod2,OGFOD2
Abcb9,ABCB9
Dars2,DARS2
Sdk1,SDK1
Zbtb17,ZBTB17
Arhgef19,ARHGEF19
Soat1,SOAT1
Stx4a,STX4
Arsg,ARSG
Grk5,GRK5
Necab3,NECAB3
Ncmap,NCMAP
Snapin,SNAPIN
Pfdn4,PFDN4
Bcdin3d,BCDIN3D
Cox14,COX14
Irf2bp1,IRF2BP1
Sphkap,SPHKAP
B3gnt8,B3GNT8
Nectin2,NECTIN2
Pvr,PVR
Kncn,KNCN
Six6,SIX6
Vopp1,VOPP1
Pik3ap1,PIK3AP1
Smim29,SMIM29
Sytl1,SYTL1
Myorg,MYORG
Tet1,TET1
Zfp385a,ZNF385A
Tmc1,TMC1
Tmc2,TMC2
Glt8d2,GLT8D2
Fbh1,FBH1
Npy,NPY
Abhd15,ABHD15
Cnot4,CNOT4
Acss3,ACSS3
Atr,ATR
Lrrc14b,LRRC14B
Chrna6,CHRNA6
Fmnl1,FMNL1
Nudt7,NUDT7
Tmed6,TMED6
Cpz,CPZ
Pus7l,PUS7L
Nckap1,NCKAP1
Cacng6,CACNG6
Golt1a,GOLT1A
Itih5,ITIH5
Sfmbt2,SFMBT2
Crip3,CRIP3
Anapc11,ANAPC11
Brwd3,BRWD3
Morn3,MORN3
Itga10,ITGA10
Zfp326,ZNF326
Spata2l,SPATA2L
Zfp579,ZNF579
Smim1,SMIM1
Mad2l2,MAD2L2
Mrpl4,MRPL4
Hyls1,HYLS1
Slc41a2,SLC41A2
Pdzrn4,PDZRN4
Myo1f,MYO1F
Wdr20,WDR20
Lca5,LCA5
Tmem107,TMEM107
Cfap418,CFAP418
Megf11,MEGF11
Fgd1,FGD1
Clca3a1,CLCA3P
Clca4b,CLCA4
Clca1,CLCA1
Clca2,CLCA2
Grip1,GRIP1
Lamc3,LAMC3
Fbxo10,FBXO10
Clrn2,CLRN2
Iqch,IQCH
Skor1,SKOR1
Efna4,EFNA4
Shc1,SHC1
Sptlc3,SPTLC3
Dlec1,DLEC1
Gal3st2,GAL3ST2
Arid5b,ARID5B
Myo3b,MYO3B
Rd3,RD3
Plxdc1,PLXDC1
Adam15,ADAM15
Kcnd2,KCND2
Slc28a2b,SLC28A2
Slc28a1,SLC28A1
Pstpip1,PSTPIP1
Rcn2,RCN2
R3hdml,R3HDML
Ccar2,CCAR2
Erap1,ERAP1
Zfyve16,ZFYVE16
Cnfn,CNFN
Wdr19,WDR19
Atp11a,ATP11A
Plau,PLAU
Rasl10a,RASL10A
Rasl10b,RASL10B
Npy1r,NPY1R
Cfap70,CFAP70
Adarb2,ADARB2
Alkbh8,ALKBH8
Uckl1,UCKL1
Zfp512b,ZNF512B
Rhbdd2,RHBDD2
Zmiz2,ZMIZ2
Lrrn2,LRRN2
Ttc23,TTC23
Synm,SYNM
Pgpep1l,PGPEP1L
Adamtsl5,ADAMTSL5
Grpel2,GRPEL2
Hemgn,HEMGN
Map3k14,MAP3K14
P4ha3,P4HA3
Itgb2,ITGB2
Myt1l,MYT1L
Tspan9,TSPAN9
Mrpl36,MRPL36
Alkbh4,ALKBH4
Orai2,ORAI2
Lrwd1,LRWD1
Kif1a,KIF1A
Aire,AIRE
Myo7b,MYO7B
H1f1,H1-1
Ano5,ANO5
Syndig1l,SYNDIG1L
Rhobtb2,RHOBTB2
Ppp1r18,PPP1R18
Nrm,NRM
Tmem79,TMEM79
Panx3,PANX3
Rab15,RAB15
Emp3,EMP3
Tmem232,TMEM232
Ntan1,NTAN1
Ptafr,PTAFR
Maml3,MAML3
Rft1,RFT1
Gins2,GINS2
Abca2,ABCA2
Adcy2,ADCY2
Fam228b,FAM228B
Fam228a,FAM228A
Kcp,KCP
Csrnp2,CSRNP2
Anapc13,ANAPC13
Ephb6,EPHB6
Zfp385c,ZNF385C
N4bp2l2,N4BP2L2
Ttc19,TTC19
Smarcd3,SMARCD3
Wdr27,WDR27
Rps6ka4,RPS6KA4
Paox,PAOX
Lyplal1,LYPLAL1
Kalrn,KALRN
Atp7b,ATP7B
Gpr37,GPR37
Ccdc85a,CCDC85A
Col16a1,COL16A1
Itga1,ITGA1
Npr1,NPR1
Ints3,INTS3
Nup107,NUP107
Rapgef3,RAPGEF3
Gpr83,GPR83
Sptbn4,SPTBN4
Sik2,SIK2
Layn,LAYN
Hoatz,HOATZ
Itgb1bp1,ITGB1BP1
Fgf9,FGF9
Sez6l2,SEZ6L2
Cyth2,CYTH2
Nek11,NEK11
Gp1bb,GP1BB
Zc3h12b,ZC3H12B
Las1l,LAS1L
Tmem208,TMEM208
Clec3b,CLEC3B
Zdhhc5,ZDHHC5
Hap1,HAP1
Sptbn5,SPTBN5
Fstl3,FSTL3
Vwa5b1,VWA5B1
Slc4a8,SLC4A8
Vipr1,VIPR1
Dbn1,DBN1
Cgrrf1,CGRRF1
Cables1,CABLES1
Tmem253,TMEM253
Syt1,SYT1
Bbs10,BBS10
Neto2,NETO2
Vwde,VWDE
Mindy4,MINDY4
Dchs2,DCHS2
Tmem82,TMEM82
Tmem240,TMEM240
Slc26a3,SLC26A3
Slc26a4,SLC26A4
Gdpd2,GDPD2
Wnt6,WNT6
Gtf2ird1,GTF2IRD1
Disp3,DISP3
Lamb2,LAMB2
Usp19,USP19
Map3k2,MAP3K2
Tmem236,TMEM236
Spata13,SPATA13
Ltc4s,LTC4S
Caskin1,CASKIN1
Heca,HECA
Ptrhd1,PTRHD1
Tstd1,TSTD1
Gfm2,GFM2
Paqr9,PAQR9
Otud7a,OTUD7A
Adra1d,ADRA1D
Slc29a3,SLC29A3
Mccc1,MCCC1
Lamp3,LAMP3
Tasp1,TASP1
Ddx59,DDX59
Kif14,KIF14
Pappa2,PAPPA2
Tmem123,TMEM123
Cep126,CEP126
Pdzd2,PDZD2
Parp8,PARP8
Prag1,PRAG1
Lmod2,LMOD2
Toe1,TOE1
Sphk2,SPHK2
Lmtk3,LMTK3
Sh3rf2,SH3RF2
Kcnj9,KCNJ9
Ecm2,ECM2
Atrip,ATRIP
Bap1,BAP1
Tle6,TLE6
Tle7,TLE7
Gpsm1,GPSM1
Adamts12,ADAMTS12
Zfp648,ZNF648
Ddb2,DDB2
Kcnn3,KCNN3
Exoc3l4,EXOC3L4
Adamts10,ADAMTS10
Fbxo4,FBXO4
Rtl1,RTL1
Phf11d,PHF11
Mtss1,MTSS1
Ptpre,PTPRE
Pde3a,PDE3A
Tmem81,TMEM81
Was,WAS
Rnf157,RNF157
Col19a1,COL19A1
Tnfaip8l1,TIPE1
Tnfaip8,TNFAIP8
Htra4,HTRA4
Zfp358,ZNF358
Dnal4,DNAL4
Ankrd45,ANKRD45
Usp11,USP11
Lrrc52,LRRC52
Gabra2,GABRA2
Skil,SKIL
Samd7,SAMD7
Ccser1,CCSER1
Trp53i13,TP53I13
Msh3,MSH3
Nphp3,NPHP3
Trpm5,TRPM5
Sgo2b,SGO2
Rev1,REV1
Faap100,FAAP100
Dapk3,DAPK3
Mccc2,MCCC2
Iqsec1,IQSEC1
Cdyl,CDYL
Mrpl1,MRPL1
Mdfic2,MDFIC2
Eif3f,EIF3F
Pla2g4d,PLA2G4D
Pla2g4e,PLA2G4E
Pla2g4f,PLA2G4F
Gpr26,GPR26
Tfap2d,TFAP2D
Slc5a6,SLC5A6
Sap130,SAP130
Zfp414,ZNF414
Tmem242,TMEM242
Xpr1,XPR1
Ddr2,DDR2
Sdccag8,SDCCAG8
Lrrc74b,LRRC74B
Chst7,CHST7
Lzts1,LZTS1
Cmtm8,CMTM8
Cdcp2,CDCP2
Tceanc2,TCEANC2
Alkbh2,ALKBH2
Cfap251,CFAP251
Oat,OAT
Sp100,SP100
Slc25a17,SLC25A17
Fbrsl1,FBRSL1
Rhobtb3,RHOBTB3
Chd6,CHD6
Clcf1,CLCF1
Arhgap31,ARHGAP31
Tex55,TEX55
Wdfy4,WDFY4
Lrrc18,LRRC18
Emilin3,EMILIN3
Otoa,OTOA
Rbm11,RBM11
Fndc4,FNDC4
Iqcc,IQCC
Tmem234,TMEM234
Nkain2,NKAIN2
Trdn,TRDN
Borcs6,BORCS6
Efhd2,EFHD2
Cdan1,CDAN1
Usp30,USP30
Arhgef4,ARHGEF4
Stac,STAC
Ccdc150,CCDC150
Tox4,TOX4
Dcaf8,DCAF8
Map3k7cl,MAP3K7CL
Dennd1c,DENND1C
Prss56,PRSS56
Kcnn2,KCNN2
Smarcad1,SMARCAD1
Ano8,ANO8
Pnrc1,PNRC1
Gabrr1,GABRR1
Alpk3,ALPK3
Kti12,KTI12
Nmb,NMB
Espn,ESPN
Atf7ip2,ATF7IP2
Bnipl,BNIPL
Elp6,ELP6
Nudt14,NUDT14
Sema4a,SEMA4A
Ptpn22,PTPN22
Zp3r,C4BPA
Cpa6,CPA6
Zfp747l1,ZNF764
Zfp260,ZNF260
Pja2,PJA2
Pja1,PJA1
Kcng1,KCNG1
Lct,LCT
Zzef1,ZZEF1
Taar1,TAAR1
Taar4,TAAR4P
Taar2,TAAR2
Taar5,TAAR5
Ubr4,UBR4
Rnf151,RNF151
Entrep3,ENTREP3
Pnck,PNCK
Zfp296,ZNF296
Ubap1l,UBAP1L
Pkia,PKIA
Slc25a25,SLC25A25
Cpsf3,CPSF3
Fmn1,FMN1
Taf1b,TAF1B
Thbs3,THBS3
Zbbx,ZBBX
Uba6,UBA6
Tmem70,TMEM70
Plac8l1,PLAC8L1
Bcr,BCR
Prss35,PRSS35
Ano7,ANO7
Zfp365,ZNF365
Tedc1,TEDC1
Tarbp1,TARBP1
Rusc1,RUSC1
Ppp4r4,PPP4R4
Prima1,PRIMA1
Rassf5,RASSF5
Rpgrip1,RPGRIP1
Hint2,HINT2
Col5a1,COL5A1
Mapkbp1,MAPKBP1
Kcnd1,KCND1
Fbxo41,FBXO41
Lmod3,LMOD3
Tmod3,TMOD3
Zbtb46,ZBTB46
Palld,PALLD
Anapc4,ANAPC4
Slain2,SLAIN2
Slc10a4,SLC10A4
Syn1,SYN1
Inha,INHA
Sun2,SUN2
Smim18,SMIM18
Upk3b,UPK3B
Trpc2,TRPC2
Doc2a,DOC2A
Gabra5,GABRA5
Gpr141,GPR141
Cks2,CKS2
Shc2,SHC2
Ankrd24,ANKRD24
Arhgap4,ARHGAP4
Phkb,PHKB
Tmem150a,TMEM150A
Vcpip1,VCPIP1
Cspp1,CSPP1
Frs2,FRS2
Klhl17,KLHL17
Plekhn1,PLEKHN1
Dpt,DPT
Trpv1,TRPV1
Trpv2,TRPV2
Tmeff2,TMEFF2
Tcirg1,TCIRG1
Pias1,PIAS1
Oplah,OPLAH
Ppp1r16a,PPP1R16A
Tmprss12,TMPRSS12
Arhgef16,ARHGEF16
Ntsr1,NTSR1
Rps6ka5,RPS6KA5
Smarcc1,SMARCC1
Fkbp1b,FKBP1B
Wdcp,WDCP
Mfsd2b,MFSD2B
Kcnk4,KCNK4
Vav2,VAV2
Sympk,SYMPK
Mdn1,MDN1
Cep135,CEP135
Aasdh,AASDH
Sgsm2,SGSM2
4833420G17Rik,C5orf34
Gpr45,GPR45
Ndufb3,NDUFB3
Dip2a,DIP2A
Vgll1,VGLL1
Swt1,SWT1
Ccdc141,CCDC141
Klhl23,KLHL23
Htr3a,HTR3A
Htr3b,HTR3B
Atxn10,ATXN10
Eps15l1,EPS15L1
Pde8b,PDE8B
Gak,GAK
Bend5,BEND5
Hpse2,HPSE2
Tmprss15,TMPRSS15
Lingo4,LINGO4
Syngap1,SYNGAP1
Sostdc1,SOSTDC1
Sync,SYNC
Haspin,HASPIN
Fam184b,FAM184B
Otogl,OTOGL
Mdp1,MDP1
Ttc41,TTC41P
Dennd2c,DENND2C
Mctp1,MCTP1
Tmem64,TMEM64
Ankrd2,ANKRD2
Lig1,LIG1
Lhx4,LHX4
Pam,PAM
Rcc1l,RCC1L
Kera,KERA
Unc5d,UNC5D
Snx27,SNX27
Trim46,TRIM46
Adam19,ADAM19
Col23a1,COL23A1
Sost,SOST
Samhd1,SAMHD1
Cfap90,CFAP90
Pax1,PAX1
Ttc32,TTC32
Aknad1,AKNAD1
Plin1,PLIN1
Btbd7,BTBD7
Stum,STUM
Wnk4,WNK4
Nfatc4,NFATC4
Myadm,MYADM
Gatad2b,GATAD2B
Myo15b,MYO15B
Rap2a,RAP2A
Ttyh1,TTYH1
Urm1,URM1
Fbxo40,FBXO40
Snx9,SNX9
Mrpl54,MRPL54
Mpv17l,MPV17L
Lrrc34,LRRC34
Lrrc31,LRRC31
Ca12,CA12
Kansl1l,KANSL1L
Lrch4,LRCH4
Fastk,FASTK
Asb18,ASB18
Reg3a,REG3A
Trim2,TRIM2
Pgap6,PGAP6
Masp1,MASP1
Gphb5,GPHB5
Klhl14,KLHL14
Adamts6,ADAMTS6
Trpc5,TRPC5
Pnpla8,PNPLA8
Mta1,MTA1
Ablim1,ABLIM1
Kcnn4,KCNN4
Spaca6,SPACA6
Pex11a,PEX11A
Sulf2,SULF2
Slc35e3,SLC35E3
Dnah10,DNAH10
Ncaph,NCAPH
Ppil2,PPIL2
Gabrd,GABRD
B3galt4,B3GALT4
Stab1,STAB1
Wasf1,WASF1
Smap2,SMAP2
Bltp3b,BLTP3B
Spsb4,SPSB4
Fam185a,FAM185A
Rfx6,RFX6
Cdc42bpb,CDC42BPB
Mterf4,MTERF4
Slc5a10,SLC5A10
Ap4s1,AP4S1
Ier5,IER5
Hectd1,HECTD1
Sf3a1,SF3A1
Pold2,POLD2
Vat1,VAT1
Pms1,PMS1
Fkbp7,FKBP7
Itsn1,ITSN1
Daxx,DAXX
Ubtf,UBTF
Tnni1,TNNI1
Lad1,LAD1
Fkbp11,FKBP11
Coch,COCH
Cntn2,CNTN2
Tfpi,TFPI
Osgepl1,OSGEPL1
Tubgcp3,TUBGCP3
Kpna3,KPNA3
Ebpl,EBPL
Mag,MAG
Fam53b,FAM53B
Gemin2,GEMIN2
Pkd2l1,PKD2L1
Sharpin,SHARPIN
Rbck1,RBCK1
Rmi2,RMI2
Mslnl,MSLNL
Tmcc2,TMCC2
Nuak2,NUAK2
Usp49,USP49
Zbtb43,ZBTB43
Lpxn,LPXN
Zfp692,ZNF692
Gatc,GATC
Tmem216,TMEM216
Ropn1l,ROPN1L
Apol6,APOL6
Pcp4l1,PCP4L1
Gdap1,GDAP1
Ehmt1,EHMT1
Alg8,ALG8
Ccdc90b,CCDC90B
Polq,POLQ
Cfap300,CFAP300
Hrh3,HRH3
Lpar4,LPAR4
Tex36,TEX36
Ntaq1,NTAQ1
Rnf19b,RNF19B
Nmu,NMU
Dysf,DYSF
Ppp1r9a,PPP1R9A
Pdk4,PDK4
Slc23a3,SLC23A3
Tmem198,TMEM198
Ankmy1,ANKMY1
Map3k1,MAP3K1
Alkbh7,ALKBH7
Gpcpd1,GPCPD1
Gtpbp8,GTPBP8
Kif28,KIF28P
Glis2,GLIS2
Atp6v1c2,ATP6V1C2
Six1,SIX1
Six2,SIX2
Six5,SIX5
Slc1a4,SLC1A4
1700123O20Rik,C14orf119
Dhrs1,DHRS1
Brms1,BRMS1
Fkbp5,FKBP5
Fndc10,FNDC10
Ikzf2,IKZF2
Dtwd2,DTWD2
Ikbip,IKBIP
Tcf20,TCF20
Proz,PROZ
Acy1,ACY1
Srpk2,SRPK2
Srrm3,SRRM3
Tars3,TARS3
Cd109,CD109
Znhit6,ZNHIT6
Mylk2,MYLK2
Kif6,KIF6
Skor2,SKOR2
Skp1,SKP1
Sla,SLA
Sepsecs,SEPSECS
Slc16a9,SLC16A9
Slc67a1,SLC67A1
Slc24a2,SLC24A2
Slc25a3,SLC25A3
Slc25a47,SLC25A47
Slc26a6,SLC26A6
Slc29a1,SLC29A1
Slc2a13,SLC2A13
Slc30a1,SLC30A1
Slc35h1,SLC35H1
Slc35d1,SLC35D1
Slc38a8,SLC38A8
Slc45a4,SLC45A4
Slc52a3,SLC52A3
Slc7a3,SLC7A3
Foxn4,FOXN4
Mif4gd,MIF4GD
Prelid3a,PRELID3A
Sytl2,SYTL2
Tagln,TAGLN
Acta2,ACTA2
Actg2,ACTG2
Hltf,HLTF
Mybpc1,MYBPC1
Smcr8,SMCR8
Ppp4r3c1,PPP4R3C
Ppp4r3b,PPP4R3B
Mt4,MT4
Smu1,SMU1
Smyd4,SMYD4
Snapc1,SNAPC1
Hps5,HPS5
Snrk,SNRK
Snrnp70,SNRNP70
Snrpf,SNRPF
Arhgap33,ARHGAP33
Socs4,SOCS4
Socs5,SOCS5
Socs6,SOCS6
Wsb1,WSB1
Chrnd,CHRND
Fam43b,FAM43B
Sort1,SORT1
Hebp2,HEBP2
Sox21,SOX21
Sox4,SOX4
Sox8,SOX8
Dcc,DCC
Spag9,SPAG9
Sparcl1,SPARCL1
Washc5,WASHC5
Zfyve26,ZFYVE26
Afg2a,AFG2A
Afg2b,AFG2B
Spg11,SPG11
Rb1,RB1
Cdc42se1,CDC42SE1
Smndc1,SMNDC1
Spart,SPART
Spast,SPAST
Sgpp2,SGPP2
Spry1,SPRY1
Sptlc2,SPTLC2
Gpr85,GPR85
Gpr173,GPR173
Srebf1,SREBF1
Syce2,SYCE2
Srgap2,SRGAP2
Srpk1,SRPK1
Ssx2ip,SSX2IP
Ssh2,SSH2
Znrd2,ZNRD2
St6gal2,ST6GAL2
St6galnac2,ST6GALNAC2
Stambp,STAMBP
Tmem41b,TMEM41B
Vangl1,VANGL1
Vangl2,VANGL2
Stc1,STC1
Abcg5,ABCG5
Abcg8,ABCG8
Stim2,STIM2
Plk4,PLK4
Whr1,WHR1
Stk24,STK24
Stk25,STK25
Stoml3,STOML3
Stx3,STX3
Suclg1,SUCLG1
Med22,MED22
Birc5,BIRC5
Kmt5b,KMT5B
Kmt5c,KMT5C
Sv2b,SV2B
Opn1sw,OPN1SW
Gm28891,SYCP3
Syn2,SYN2
Syngr1,SYNGR1
Syngr3,SYNGR3
Syp,SYP
Syt5,SYT5
Tas1r2,TAS1R2
Tas2r131,TAS2R42
Tas2r115,TAS2R14
Tas2r124,TAS2R13
Tas2r114,TAS2R10
Tas2r144,TAS2R40
Tas2r138,TAS2R38
Tas2r126,TAS2R41
Tas2r130,TAS2R7
Tas2r135,TAS2R60
Tas2r137,TAS2R3
Tas2r119,TAS2R1
Tas2r108,TAS2R4
Taf8,TAF8
Btaf1,BTAF1
Taok1,TAOK1
Tardbp,TARDBP
Tars1,TARS1
Tafazzin,TAFAZZIN
Wwtr1,WWTR1
Tbx21,TBX21
Tbpl2,TBPL2
Tbx3,TBX3
Cd2,CD2
Tcerg1,TCERG1
Elk4,ELK4
Tcf7l2,TCF7L2
Tcf4,TCF4
Uqcr10,UQCR10
Cct5,CCT5
Zap70,ZAP70
Dynlt3,DYNLT3
Dynlt5,DYNLT5
Serinc1,SERINC1
Tdp2,TDP2
Tdrkh,TDRKH
Stk31,STK31
Dntt,DNTT
Tead1,TEAD1
Tecrl,TECRL
Tef,TEF
Tcf12,TCF12
F3,F3
Tgm6,TGM6
Tgm5,TGM5
Tgfb2,TGFB2
Tgfb3,TGFB3
Th,TH
Nelfcd,NELFCD
Thbs2,THBS2
Thbs4,THBS4
Alyreffm9,ALYREF
Nln,NLN
Zbtb7b,ZBTB7B
Med30,MED30
